leaves,x0,x1,x2,x3,x4,x5,x6,orbits
7,1,0,1,0,0,0,0,2
9,1,0,2,0,0,0,0,1
7,1,1,0,0,0,0,0,1
9,1,1,1,0,0,0,0,2
11,1,1,2,0,0,0,0,1
9,1,2,0,0,0,0,0,2
11,1,2,1,0,0,0,0,1
13,1,2,2,0,0,0,0,1
7,1,0,0,1,0,0,0,2
9,1,0,1,1,0,0,0,1
11,1,0,2,1,0,0,0,1
9,1,1,0,1,0,0,0,2
11,1,1,1,1,0,0,0,1
13,1,1,2,1,0,0,0,1
11,1,2,0,1,0,0,0,1
13,1,2,1,1,0,0,0,1
15,1,2,2,1,0,0,0,2
9,1,0,0,2,0,0,0,3
11,1,0,1,2,0,0,0,2
13,1,0,2,2,0,0,0,2
11,1,1,0,2,0,0,0,3
13,1,1,1,2,0,0,0,2
15,1,1,2,2,0,0,0,2
13,1,2,0,2,0,0,0,2
15,1,2,1,2,0,0,0,2
17,1,2,2,2,0,0,0,3
9,1,0,0,0,1,0,0,1
9,1,0,1,0,1,0,0,3
11,1,0,2,0,1,0,0,2
9,1,1,0,0,1,0,0,1
11,1,1,1,0,1,0,0,3
13,1,1,2,0,1,0,0,2
11,1,2,0,0,1,0,0,1
13,1,2,1,0,1,0,0,2
15,1,2,2,0,1,0,0,2
9,1,0,0,1,1,0,0,1
11,1,0,1,1,1,0,0,1
13,1,0,2,1,1,0,0,2
11,1,1,0,1,1,0,0,1
13,1,1,1,1,1,0,0,1
15,1,1,2,1,1,0,0,2
13,1,2,0,1,1,0,0,1
15,1,2,1,1,1,0,0,2
17,1,2,2,1,1,0,0,1
11,1,0,0,2,1,0,0,2
13,1,0,1,2,1,0,0,1
15,1,0,2,2,1,0,0,1
13,1,1,0,2,1,0,0,2
15,1,1,1,2,1,0,0,1
17,1,1,2,2,1,0,0,1
15,1,2,0,2,1,0,0,1
17,1,2,1,2,1,0,0,1
19,1,2,2,2,1,0,0,2
11,1,0,0,0,2,0,0,1
